C1, 11.43, 49.53, 270.00, 100nF, C0805
C2, 7.62, 49.53, 270.00, 100nF, C0805
C3, 30.48, 48.26, 270.00, 20pF, C0805
C4, 30.48, 40.64, 90.00, 20pF, C0805
C5, 15.24, 49.53, 270.00, 1uF, C0805
IC1, 15.24, 33.02, 270.00, ATMEGA328P, TQFP32-08
R1, 3.81, 49.53, 90.00, 10K, R0805
S1, 38.10, 5.08, 0.00, EVP-BFAC1A000, EVPBFAC1A000
U$1, 2.54, 62.23, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$2, 2.54, 10.16, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$3, 40.64, 11.43, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$4, 14.19, 3.81, 0.00, CR2032, CR2032
U1, 12.70, 17.78, 180.00, ADXL362, TFLGA-16/3.3MMX3.1MM
XTAL, 38.10, 44.45, 270.00, 16MHz, HC49UP
